"","TCGA-2K-A9WE-01","TCGA-2Z-A9J1-01","TCGA-2Z-A9J2-01","TCGA-2Z-A9J3-01","TCGA-2Z-A9J5-01","TCGA-2Z-A9J6-01","TCGA-2Z-A9J7-01","TCGA-2Z-A9J8-01","TCGA-2Z-A9J9-01","TCGA-2Z-A9JD-01","TCGA-2Z-A9JE-01","TCGA-2Z-A9JG-01","TCGA-2Z-A9JI-01","TCGA-2Z-A9JJ-01","TCGA-2Z-A9JK-01","TCGA-2Z-A9JL-01","TCGA-2Z-A9JM-01","TCGA-2Z-A9JN-01","TCGA-2Z-A9JO-01","TCGA-2Z-A9JP-01","TCGA-2Z-A9JQ-01","TCGA-2Z-A9JR-01","TCGA-2Z-A9JS-01","TCGA-2Z-A9JT-01","TCGA-4A-A93W-01","TCGA-4A-A93X-01","TCGA-4A-A93Y-01","TCGA-5P-A9JU-01","TCGA-5P-A9JV-01","TCGA-5P-A9JW-01","TCGA-5P-A9JY-01","TCGA-5P-A9JZ-01","TCGA-5P-A9K0-01","TCGA-5P-A9K2-01","TCGA-5P-A9K3-01","TCGA-5P-A9K4-01","TCGA-5P-A9K6-01","TCGA-5P-A9K8-01","TCGA-5P-A9K9-01","TCGA-5P-A9KA-01","TCGA-5P-A9KC-01","TCGA-5P-A9KE-01","TCGA-5P-A9KF-01","TCGA-5P-A9KH-01","TCGA-A4-7286-01","TCGA-A4-7287-01","TCGA-A4-7288-01","TCGA-A4-7583-01","TCGA-A4-7584-01","TCGA-A4-7585-01","TCGA-A4-7732-01","TCGA-A4-7734-01","TCGA-A4-7828-01","TCGA-A4-7915-01","TCGA-A4-7997-01","TCGA-A4-8098-01","TCGA-A4-8310-01","TCGA-A4-8311-01","TCGA-A4-8312-01","TCGA-A4-8515-01","TCGA-A4-8516-01","TCGA-A4-8517-01","TCGA-A4-8630-01","TCGA-A4-A48D-01","TCGA-A4-A4ZT-11","TCGA-A4-A4ZT-01","TCGA-A4-A57E-11","TCGA-A4-A57E-01","TCGA-A4-A5DU-01","TCGA-A4-A5XZ-01","TCGA-A4-A5Y0-01","TCGA-A4-A5Y1-01","TCGA-A4-A6HP-01","TCGA-A4-A772-01","TCGA-A4-A7UZ-01","TCGA-AL-3466-01","TCGA-AL-3467-01","TCGA-AL-3468-01","TCGA-AL-3471-01","TCGA-AL-3472-01","TCGA-AL-3473-01","TCGA-AL-7173-01","TCGA-AL-A5DJ-01","TCGA-AT-A5NU-01","TCGA-B1-5398-01","TCGA-B1-7332-01","TCGA-B1-A47M-01","TCGA-B1-A47N-01","TCGA-B1-A47O-01","TCGA-B1-A654-01","TCGA-B1-A655-01","TCGA-B1-A656-01","TCGA-B1-A657-01","TCGA-B3-3925-01","TCGA-B3-3926-01","TCGA-B3-4103-01","TCGA-B3-4104-01","TCGA-B3-8121-01","TCGA-B3-A6W5-01","TCGA-B9-4113-01","TCGA-B9-4114-01","TCGA-B9-4115-11","TCGA-B9-4115-01","TCGA-B9-4116-01","TCGA-B9-4117-01","TCGA-B9-4617-01","TCGA-B9-5155-01","TCGA-B9-5156-01","TCGA-B9-7268-01","TCGA-B9-A44B-01","TCGA-B9-A5W7-01","TCGA-B9-A5W8-01","TCGA-B9-A5W9-01","TCGA-B9-A69E-01","TCGA-B9-A8YH-01","TCGA-B9-A8YI-01","TCGA-BQ-5875-11","TCGA-BQ-5875-01","TCGA-BQ-5876-01","TCGA-BQ-5877-11","TCGA-BQ-5877-01","TCGA-BQ-5878-11","TCGA-BQ-5878-01","TCGA-BQ-5879-11","TCGA-BQ-5879-01","TCGA-BQ-5880-01","TCGA-BQ-5881-01","TCGA-BQ-5882-11","TCGA-BQ-5882-01","TCGA-BQ-5883-01","TCGA-BQ-5884-11","TCGA-BQ-5884-01","TCGA-BQ-5885-01","TCGA-BQ-5886-01","TCGA-BQ-5887-11","TCGA-BQ-5887-01","TCGA-BQ-5888-11","TCGA-BQ-5888-01","TCGA-BQ-5889-01","TCGA-BQ-5890-11","TCGA-BQ-5890-01","TCGA-BQ-5891-11","TCGA-BQ-5891-01","TCGA-BQ-5892-01","TCGA-BQ-5893-01","TCGA-BQ-5894-11","TCGA-BQ-5894-01","TCGA-BQ-7044-11","TCGA-BQ-7044-01","TCGA-BQ-7045-11","TCGA-BQ-7045-01","TCGA-BQ-7046-11","TCGA-BQ-7046-01","TCGA-BQ-7048-01","TCGA-BQ-7049-01","TCGA-BQ-7050-01","TCGA-BQ-7051-11","TCGA-BQ-7051-01","TCGA-BQ-7053-01","TCGA-BQ-7055-11","TCGA-BQ-7055-01","TCGA-BQ-7056-01","TCGA-BQ-7058-01","TCGA-BQ-7059-11","TCGA-BQ-7059-01","TCGA-BQ-7060-01","TCGA-BQ-7061-11","TCGA-BQ-7061-01","TCGA-BQ-7062-01","TCGA-DW-5560-01","TCGA-DW-5561-01","TCGA-DW-7834-01","TCGA-DW-7836-01","TCGA-DW-7837-01","TCGA-DW-7838-01","TCGA-DW-7839-01","TCGA-DW-7840-01","TCGA-DW-7841-01","TCGA-DW-7842-01","TCGA-DW-7963-01","TCGA-DZ-6131-11","TCGA-DZ-6131-01","TCGA-DZ-6132-11","TCGA-DZ-6132-01","TCGA-DZ-6133-11","TCGA-DZ-6133-01","TCGA-DZ-6134-11","TCGA-DZ-6134-01","TCGA-DZ-6135-01","TCGA-EV-5901-01","TCGA-EV-5902-01","TCGA-EV-5903-01","TCGA-F9-A4JJ-01","TCGA-F9-A7Q0-01","TCGA-F9-A7VF-01","TCGA-F9-A8NY-01","TCGA-F9-A97G-01","TCGA-G7-6789-01","TCGA-G7-6790-01","TCGA-G7-6792-01","TCGA-G7-6793-01","TCGA-G7-6795-01","TCGA-G7-6796-01","TCGA-G7-6797-01","TCGA-G7-7501-01","TCGA-G7-7502-01","TCGA-G7-A4TM-01","TCGA-G7-A8LB-01","TCGA-G7-A8LC-01","TCGA-G7-A8LD-01","TCGA-G7-A8LE-01","TCGA-GL-6846-11","TCGA-GL-6846-01","TCGA-GL-7773-01","TCGA-GL-7966-11","TCGA-GL-7966-01","TCGA-GL-8500-01","TCGA-GL-A4EM-01","TCGA-GL-A59R-11","TCGA-GL-A59R-01","TCGA-GL-A59T-01","TCGA-GL-A9DC-01","TCGA-GL-A9DD-01","TCGA-GL-A9DE-11","TCGA-GL-A9DE-01","TCGA-HE-7128-01","TCGA-HE-7129-01","TCGA-HE-7130-01","TCGA-HE-A5NF-01","TCGA-HE-A5NH-01","TCGA-HE-A5NI-01","TCGA-HE-A5NJ-01","TCGA-HE-A5NK-01","TCGA-HE-A5NL-01","TCGA-IA-A40U-01","TCGA-IA-A40X-01","TCGA-IA-A40Y-01","TCGA-IA-A83S-01","TCGA-IA-A83T-01","TCGA-IA-A83V-01","TCGA-IA-A83W-01","TCGA-IZ-8195-01","TCGA-IZ-8196-01","TCGA-IZ-A6M8-01","TCGA-IZ-A6M9-01","TCGA-J7-6720-01","TCGA-J7-8537-01","TCGA-J7-A8I2-01","TCGA-KV-A6GD-01","TCGA-KV-A6GE-01","TCGA-KV-A74V-01","TCGA-MH-A55W-01","TCGA-MH-A55Z-01","TCGA-MH-A560-01","TCGA-MH-A561-01","TCGA-MH-A562-01","TCGA-MH-A854-01","TCGA-MH-A855-01","TCGA-MH-A856-01","TCGA-MH-A857-01","TCGA-O9-A75Z-01","TCGA-P4-A5E6-01","TCGA-P4-A5E7-01","TCGA-P4-A5E8-11","TCGA-P4-A5E8-01","TCGA-P4-A5EA-01","TCGA-P4-A5EB-01","TCGA-P4-A5ED-11","TCGA-P4-A5ED-01","TCGA-P4-AAVK-01","TCGA-P4-AAVL-01","TCGA-P4-AAVM-01","TCGA-P4-AAVO-01","TCGA-PJ-A5Z8-01","TCGA-PJ-A5Z9-01","TCGA-Q2-A5QZ-01","TCGA-SX-A71R-01","TCGA-SX-A71S-01","TCGA-SX-A71U-01","TCGA-SX-A71V-01","TCGA-SX-A71W-01","TCGA-SX-A7SL-01","TCGA-SX-A7SM-01","TCGA-SX-A7SN-01","TCGA-SX-A7SO-01","TCGA-SX-A7SP-01","TCGA-SX-A7SQ-01","TCGA-SX-A7SR-01","TCGA-SX-A7SS-01","TCGA-SX-A7SU-01","TCGA-UN-AAZ9-01","TCGA-UZ-A9PJ-01","TCGA-UZ-A9PK-01","TCGA-UZ-A9PL-01","TCGA-UZ-A9PM-01","TCGA-UZ-A9PN-01","TCGA-UZ-A9PO-01","TCGA-UZ-A9PP-01","TCGA-UZ-A9PQ-01","TCGA-UZ-A9PR-01","TCGA-UZ-A9PS-05","TCGA-UZ-A9PS-01","TCGA-UZ-A9PU-01","TCGA-UZ-A9PV-01","TCGA-UZ-A9PX-01","TCGA-UZ-A9PZ-01","TCGA-UZ-A9Q0-01","TCGA-UZ-A9Q1-01","TCGA-V9-A7HT-01","TCGA-WN-A9G9-01","TCGA-WN-AB4C-01","TCGA-Y8-A894-01","TCGA-Y8-A895-01","TCGA-Y8-A896-01","TCGA-Y8-A897-01","TCGA-Y8-A898-01","TCGA-Y8-A8RY-11","TCGA-Y8-A8RY-01","TCGA-Y8-A8RZ-01","TCGA-Y8-A8S0-01","TCGA-Y8-A8S1-01"
"TPTE",0,0.6344,0,0.5031,0,0,0,0.4441,0,1.2759,0.4919,1.4175,0.5386,0.5399,1.6057,0.6984,0.6777,1.8836,0,0.5851,0,0,0.9937,0,1.327,0,0.9324,0.5186,0,0,0,0.7579,0,1.3421,0,0,0.4352,0,0,0,0,0.4509,1.0878,6.8133,0,0,1.3517,1.5712,2.054,1.885,1.9464,2.0032,0,76.0648,4.7897,0,0.5482,1.0433,0,1.0897,0.6678,1.8595,1.5475,0,10.8199,0.7271,0,0,0.7822,1.5131,0,1.0886,0.4888,0,0,14.0172,1.3293,0,0,0.4931,0.4077,0,0,0.3125,0.5718,0,0,0,0,0,0.9708,0.9911,0,2.6767,0.7655,0,52.8598,0,1.2794,0,0.4335,3.128,0,1.3782,0,0,0,0.5344,0.9189,3.0788,1.5213,0.8335,0,0.4127,2.7397,0,0.8777,1.4468,0.5921,1.0375,0.4081,0.7542,1.9098,2.2866,1.2349,0,0,2.4472,1.3719,5.7644,0.9404,3.3329,0,0,2.2726,1.0936,0,0,0,0.7784,0,1.3893,3.2688,0.8815,1.1099,0,1.0313,0,1.601,1.6888,0,1.8268,0.7444,1.6294,1.5054,1.2895,3.4299,2.7097,0.4251,0,0,0,0,0.4495,0.8158,0.4581,3.3159,1.5774,0.3647,0.822,1.0804,0.4836,0.4647,0.6893,0.5236,0,0,1.8645,1.1708,0,2.5229,1.8047,0.4029,1.8185,3.994,3.8272,0.514,2.1875,2.5591,2.0659,0,1.6443,0,0,0,0,1.3264,0,0.8118,1.5305,1.2329,0,0,0.7563,0,0,3.5014,0,0,0.9505,2.5123,0,0.925,3.0009,1.6899,0,0,0,2.072,0,0,1.2229,1.4838,7.2774,1.0272,0.6817,2.5484,2.1814,0,0,0,0,0,2.2857,0,0,0,0,0,0.9008,2.756,0.9899,5.226,0.5053,0.4943,0.5683,1.2433,0.7582,0.5013,0.4429,0,0,1.0875,0,0,0,1.7547,0,0,1.297,1.5517,0,0,0,50.1319,46.507,0,2.182,0,0.3946,0.7337,0,0,3.9111,0,1.2143,0.7396,3.0267,3.1389,0,0.9707,0,0,0.7736,0,0,1.0037,2.0875,0,0.5498,1.0094,0,0,0,0,0,0,1.9086,0.3854,2.598,2.2137,1.414,0.4988,0.9824,1.4852,0.8971,0,2.1687,2.9975,0,0,1.784,0.4382,0,0,0,0.4094,0.4374,0.4949,0.3914,0
"TPTE2",1.0274,0.4956,0,0,0,0,4.2267,0,0.374,0.5187,2.4597,1.0552,1.7515,0,0,1.5407,0,0,0,0,1.1198,0,0,0,1.7693,0,4.6622,0.4052,2.1159,0,0,0,0.4133,0,0,0,0,0.3226,0,0.5277,0,0,0.84,0.3697,0,1.5205,0,0.3706,0.4352,0,0,0.5285,0,0,0,0,0,0,0,0,0,0,0,0,0.5695,0,0,0,0,0,0,2.0326,0,0.3472,1.0766,0,1.7153,0,0,0.4288,0.3369,0.5692,0,1.6699,0,0,0,0.6567,0,1.0199,0,0.4955,0,0.4446,0,0,1.8773,0,0,0.7493,1.7339,0.3022,2.0422,0,0,0,0,0,0,1.2315,0.3546,0,0,2.476,0.3182,0,0,0,0,0,1.7003,0,0,0.3049,0,0,0,0.9988,0.6366,0,0,0.2321,1.0977,0,0,0,0.6645,1.0543,0.812,0,0,0.35,0,0.3583,0.37,0,0,0.8425,0.3723,0,0,0,0,0.5599,11.6099,0,0.3041,0,0,0,0,0,3.096,0,0,0,1.9886,0,0.2722,0.6738,0.8311,0,0,1.0941,0,0,0.522,0,0,0,0,0,0.3147,0.3174,0,0.2297,0.3836,0.2617,1.0298,0.4942,0.2782,0,1.0097,1.0106,0,0,0,0.8111,0,0,0,0,1.1675,1.0578,0,0.3264,0,0,0,0,0.7047,0,0,1.7498,0,0.3834,0.4148,0.6588,0,0.6472,0,0,0,1.1769,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4263,0,0.7149,0,0,0,0,0.9886,0,0.4103,4.5489,0.5013,0.4429,0,0,0,0.639,0,0,1.5192,0,3.0651,0.4323,0,0.5126,0.8061,0,0,3.9302,0,0.8574,3.8272,4.341,0.7337,0,0,0.9843,0,0,1.8804,0,0,0,0.3442,0,0,0,0,0.4439,0,0,0,0,0,0.4046,0.3969,0.4052,0,0,0,0,0,0.6937,0.4641,0,0.7734,0,0,1.9789,0,0,0.9426,0.6435,0,0,0.4382,0,0,0.6983,2.5948,0,0,0,0.7143
"TNS1",6243.7396,2870.5241,2168.1224,1996.3807,3003.9216,2982.009,2964.4697,6531.2187,12093.1189,10192.9461,2316.5662,5539.5709,3656.705,2318.7102,21896.2855,5302.5197,4726.4749,4407.9623,4286.633,3037.4488,1389.6976,5013.2513,3636.3105,1900.4392,3763.7952,7507.6519,11211.7115,5368.3144,26316.647,3302.3056,2735.9607,4001.0335,2492.2505,2116.6117,2401.3683,7784.8571,4095.0478,8054.1935,6094.7368,7912.9288,9906.4665,4031.1091,3950.3414,4724.5841,7938.4615,2162.1896,7860.5304,2987.2151,4189.7302,6940.1125,2444.4346,7934.9894,14211.8731,3720.5782,7886.0921,7342.8854,2791.265,2707.594,5478.6489,1718.4226,2889.7613,4978.4543,3577.9731,4857.2368,12764.5883,4699.6424,9647.7315,2403.7589,7570.3971,6585.4707,1680.0507,6293.4899,3560.1173,3618.0556,2853.99,4087.9261,4272.2985,3576.8044,5227.5957,3835.3345,8861.5229,11075.7427,967.4413,2600.823,7577.5666,8062.2191,2666.6667,3573.1407,5237.7522,2581.3361,8676.2039,6620.9118,7929.8304,9269.0084,8918.6098,5144.9664,2281.602,5833.3333,3392.6471,4494.1926,1469.4408,16763.6801,1432.6072,2726.7483,16592.0375,4620.9861,2808.5242,3708.2642,3514.4674,14448.2759,3529.7872,9790.4537,3420.7641,3708.6557,5115.4443,3591.8255,15763.7722,10660.821,5544.9801,21629.4028,10337.0882,23271.9316,5085.5787,17245.7317,9748.3426,5507.8067,2969.8709,22943.6422,7796.5152,5656.0838,25490.8715,8271.4026,21099.3414,1841.9811,14957.5544,11856.5409,6244.6116,1664.7338,6273.65,18345.8452,3180.1474,18658.9676,1499.6876,33103.646,7285.6086,17417.0281,6201.3505,8836.5628,3032.647,19309.9014,3923.1665,17177.3574,8936.4628,5581.3276,9921.4396,6611.4035,14054.2759,6393.1962,10438.8284,18649.2957,6958.2619,5767.8256,4616.0991,18326.1155,10818.3347,6288.5251,7545.3642,15339.4001,6973.5983,4964.2822,4142.2356,2968.2251,4009.9285,4840.8096,4188.0025,2979.1295,4179.5641,3234.6861,7493.0597,2652.5324,19209.4088,4306.5513,13834.0403,8103.4592,18943.8583,10840.5697,17497.8903,9928.4359,10447.5768,10107.123,4701.7251,6792.0792,1987.6309,4193.0268,2955.8775,6986.6856,5475.4062,9180.5739,7343.6136,3371.0996,5400.9423,3736.5526,2896.0887,8855.7451,4061.0368,13044.7128,3670.0271,2078.7045,2856.8075,1333.5481,9563.0726,19320.3685,5675.1152,7155.7305,13391.6309,5399.9233,4452.0946,6624.5059,10647.4185,4409.0615,2036.8421,5959.9305,3327.6662,12035.308,9158.4723,10604.1755,5120.3018,1151.1335,5280.7206,5343.9795,7047.9911,3818.6885,4327.553,3742.8571,4531.0791,3700.3288,1909.9914,3783.1381,5232.9654,11744.0572,10227.2798,5098.9923,5809.2224,1942.9005,2737.0242,2901.6115,2983.9967,685.3677,7388.9724,3948.1842,5654.1196,4063.3105,3246.3295,2434.5048,4265.5532,1918.5275,2458.7923,2929.5316,5183.908,9212.9439,3403.0216,5861.0969,2679.9678,13228.739,3888.6447,2313.5586,9794.7846,11285.4774,2546.7469,4920.2841,6393.9839,4352.9937,3145.3868,5428.5949,4746.124,958.1056,2594.3378,5650.7218,3477.1805,4004.7722,3545.2668,1480.5361,7627.5395,1990.4883,14659.3503,3395.4727,5566.8427,5408.7021,3420.5539,2691.039,4621.0973,4050.1669,2930.4494,5329.8217,3377.9407,8984.6771,4066.6623,5235.4161,7743.3279,4659.0357,12359.2064,2384.9925,2421.8871,3445.6763,4927.2797,3255.9367,1954.5032,7395.8848,4502.8868,4492.278,2780,6441.3862,3752.8484,1965.281,4254.386,2152.933,11315.7855,5069.7587,2228.3806,4272.7984,7221.4286
"TNS4",5.6504,8.9208,1.2389,1.4477,7.8431,3.4983,1.0567,2.0033,0,1.0373,0.4919,0.3517,3.503,640.4199,2.5429,16.434,7.8011,3.4247,0.6125,3.5108,15.6775,1.4198,6.4946,1.4641,4.8656,2.6235,13.0542,0.4052,0.8463,1.7185,0.5775,0.689,2.0665,2.2002,1.1403,6.6505,2.6111,1.2903,0,506.0686,1.7728,8.1154,1.6799,757.8558,0,2152.5596,1.6525,5.5586,2.611,4.4212,2.2765,53.3827,9.2119,7.3736,7.7629,3.4585,2.1927,3.5486,30.7338,1.1431,2.2562,2.3419,3.744,13.8158,65.4886,2.9797,56.2811,0,0.6017,1.1463,1.5199,1.1292,7.3314,4.8611,50.5988,12.7429,4.717,4.9352,6.4176,12.0069,24.2588,134.8965,42.6901,1.1928,7.063,14.7482,2.331,4.5969,11.5274,3.0597,1.0439,3.9643,3.5219,3.1125,1.7598,2.6846,5488.7359,3.2787,14.7059,3.372,5.635,79.7868,3.0633,1.5617,4.4965,2.3924,1.5903,4.3146,0.9539,6.1576,21.9858,2.3644,0,4.952,4.7731,1.8766,94.9269,3.5871,0,212.8637,2.2671,122.2862,5.8635,146.6463,3.1197,3.7175,7.1736,250.0425,10.504,2.8584,86.1178,3.0172,3.8419,1.1792,377.9782,1.1759,89.3701,13.7059,10.1502,55.3352,1.3551,64.042,0.5554,3.5833,2.2198,92.2164,6.1387,74.9789,4.0957,78.4398,8.149,295.0044,1.4225,4.4794,25.9288,3.0702,404.409,0.5934,2.8512,122.1636,9.7198,3.704,1.8576,119.4226,11.2139,1.5372,96.1969,0,8.982,24.9292,4.1555,158.3396,0,31.7287,33.8075,1.5694,2.088,7.2741,3.621,6.2819,111.5737,0.618,22.6607,6.3472,157.8749,1.1486,250.8631,13.083,15.1895,21.7458,0,3.8897,4.5437,3.0318,1.4026,3.1465,2.2107,0.8111,0,20.0594,0.6388,10.7311,6.4215,34.3779,1.329,6.8538,23.6526,1.9433,3.5211,8.6992,5.6378,169.5667,0.9875,14.4357,9.1202,9.2025,1.2443,3.2938,152.1739,9.7087,4.7368,6.022,22.6687,52.5696,1.3169,3.4086,1.7104,6327.4559,2.5735,1.5874,5.5804,20.597,3.8536,8.4034,8.4535,7.0456,0.8613,5.705,3.426,11.4388,71.0834,6.5205,2.2604,2.0212,73.653,3.3927,4.1034,8338.135,22.0551,9.7431,6.2735,5.819,9.2442,0.639,7.0981,12.07,70.6419,0.4073,68.1992,486.3708,53.4912,6.1507,12.495,126.0997,38.8278,51.0922,1.1338,104.5984,41.5528,0.7893,12.4725,0,2.7959,3.6092,0.646,4.8573,7.5216,8.3027,13.6917,2.2639,1.0327,0.6382,1.1287,19.6576,0.878,7.9893,7.3141,10.9086,2.1866,72.5673,0.9094,0.8091,57.5454,10.5348,4.8885,3.2835,2.6899,12.945,0,2.0812,0.9282,0.3771,1.1601,0.3411,7.3105,2.6385,8.3565,0.4115,3.2992,66.2806,1.0526,0,2.6293,9.1366,4.6168,2.7933,165.2003,5.6561,0,2.3483,8.5714
"PTEN",1682.8047,968.4054,854.8597,1129.2074,992.1569,1166.9165,928.279,856.7613,2207.9282,1245.332,1029.1477,2004.9244,1994.0887,2400.8249,1543.1841,1524.7633,1222.3306,1645.5479,1813.5048,1002.9257,1145.5767,1180.7856,1657.4146,912.1523,1300.4534,1313.9484,1565.5742,827.7958,1731.6201,1464.7,997.8346,831.6252,1097.7475,1300.33,1092.9304,1086.4027,1160.6262,1260.6452,1445.4294,1805.277,1197.0018,1288.9991,1144.8683,1061.7375,990.7692,1980.74,1922.8291,1371.1321,1204.9608,1463.4244,1198.0291,1500.2643,2737.9734,2335.5001,1536.0232,1826.087,924.7573,1078.7793,1311.1499,1288.6264,1250.3948,1207.0258,1633.6124,1068.4211,1293.2581,1353.9928,1643.0243,1088.7881,1046.3297,1294.7414,1185.5605,819.1519,1158.3578,1177.4306,1336.0248,1032.1759,1595.1973,1563.2326,1939.9496,1263.2933,1499.3261,1831.6327,922.9474,1163.7144,1007.3152,1398.7787,996.2704,1283.8614,1031.7003,962.7741,1385.2558,1143.2111,914.2761,2032.9035,2544.6546,1844.7427,1628.9111,1371.0383,2016.1765,1873.3608,1520.5895,2199.2735,1737.5766,1600.3639,1800.8431,1406.7511,2111.3232,1700.2987,1331.9555,926.1084,1332.2695,987.7346,1102.5117,1466.2127,1328.5009,1248.5691,2054.155,1502.9892,845.5132,1789.8162,2181.7924,1849.5011,1591.7911,1450.6098,2279.4748,1393.3086,1141.3199,1498.59,1135.387,1810.6201,1416.8102,3342.8647,1708.0132,1114.9764,1408.4011,1953.5522,1611.652,2152.873,1799.0256,2130.0378,1126.4504,1697.2878,969.5202,1336.1999,1963.374,1689.7208,1806.4252,1421.6512,1237.2604,2269.6099,1417.9278,1253.3255,974.8696,1587.386,2250,2672.3684,1535.2338,1513.0538,1557.802,1237.5702,1166.9525,1611.2467,923.2198,1422.9003,1666.3863,1278.6104,1270.1964,1318.5035,1377.7899,824.6853,887.2064,1329.6245,1092.1366,1324.9453,1128.8394,1145.0705,1169.7768,1251.1485,1459.2637,1118.1782,1724.3963,1989.1842,1941.581,2167.5659,1416.3527,1325.9821,1774.837,1818.8003,1620.9049,1580.0334,1599.3322,1868.4583,1743.7839,1885.8009,916.5675,2607.5895,830.7726,1650.2078,1275.531,1482.1694,2399.4251,712.5419,1023.9346,1483.0094,1399.4181,1155.0261,1226.8321,765.668,911.385,1496.5767,1374.2072,1549.6418,1721.5273,1563.4296,1915.7725,1337.0399,1346.7441,1047.4308,1192.9348,1449.1909,1263.6842,1258.5987,1227.7177,1176.9321,1192.2739,1699.6165,1531.2527,1317.8841,978.769,1411.9916,1027.9018,1422.8425,1191.7148,1221.0084,1062.1581,1204.791,916.882,1267.2265,1304.9105,1373.3691,2338.8932,1366.9235,1748.6438,1071.2481,1098.8631,1867.6845,1049.2409,1391.2055,1082.2055,1060.2303,1229.611,1838.7976,943.4475,952.7157,1260.9603,750.7544,1014.812,1314.053,1887.3563,1281.425,1459.7795,1394.1568,1667.0697,1292.2776,1421.978,1558.3114,1173.8473,1596.4111,1817.3866,1290.0552,1647.8357,1218.0518,1148.1827,1570.0107,1433.4625,686.0959,915.7592,1484.6684,1187.6268,1115.6313,1532.5301,1182.5144,1369.0745,1455.929,1578.1387,966.7111,1176.3511,1332.8375,1604.9563,1135.2391,3744.1649,1400.2225,1296.9541,875.2026,1013.7489,1183.5097,1128.7019,1131.8563,1674.1497,1404.093,1419.1902,1618.0241,1383.604,1276.4796,1537.1297,1025.7256,988.8579,1485.5967,1350.7718,1552.7671,1088.4211,1174.4852,1045.5741,2127.4555,2094.6445,1303.7709,1265.0938,1341.629,1768.1554,1372.6027,902.8571
