"","Gene_Symbol","Ensembl_ID","PGG_Family","F_Statistic","P_Value","FDR"
"13825","WASF2",NA,"NA","298.057819441403","7.13406456009779e-60","7.85292380430637e-58"
"8681","VKORC1L1","ENST00000522505","NA","297.166711950658","1.02131021884811e-59","1.11710653178058e-57"
"6143","CYMP","ENST00000556181","pgAmat5248.csv","296.326133536298","1.43294194238758e-59","1.55749073260014e-57"
"6396","MXRA7","ENST00000404801","NA","295.376070712415","2.10162794956418e-59","2.27002088902301e-57"
"14735","OR5K2","ENST00000388820","NA","292.329687444012","7.18796934592065e-59","7.71568237491929e-57"
"8545","CSPG4P5","ENST00000596369","pgAmat27044.csv","291.960845014955","8.34336776676649e-59","8.90062232995423e-57"
"16417","HADHA","ENST00000612350","pgAmat32162.csv","291.108047404463","1.17781477876871e-58","1.24877269979637e-56"
"16962","ESD","ENST00000450023","NA","288.484516782841","3.4061527701802e-58","3.58933732769842e-56"
"7184","RP11-834C11.7",NA,"NA","287.192187147348","5.75099861512585e-58","6.02356109494575e-56"
"668","OR10A3","ENST00000225576","NA","285.638801800537","1.08003723006367e-57","1.12440984397352e-55"
"8590","RP11-182J1.14","ENST00000261303","NA","280.78915784345","7.75849503516084e-57","8.02888091003891e-55"
"9297","TTC7B","ENST00000603320","pgAmat20184.csv","280.588524232697","8.41910609580763e-57","8.66065425879449e-55"
"2594","ACKR4","ENST00000451304","NA","277.768061738292","2.65871013403624e-56","2.71880642227303e-54"
"16789","RP11-111F5.2",NA,"NA","275.602037734053","6.43951553428229e-56","6.54633573314509e-54"
"10603","ABC12-47964100C23.1","ENST00000283632","NA","273.179307002599","1.7347775638403e-55","1.75324127826246e-53"
"15977","GPM6B","ENST00000425942","pgAmat7189.csv","272.561183110871","2.23442787946e-55","2.24508038446673e-53"
"257","ULK4P1","ENST00000426038","NA","272.348492301969","2.43781359593544e-55","2.43527714248302e-53"
"16221","bP-2189O9.2","ENST00000418310","NA","270.546878073023","5.10152321449473e-55","5.06692667775276e-53"
"13302","CYP4F24P",NA,"NA","266.844886463749","2.33308289870731e-54","2.30401935174055e-52"
"3733","PTCH1",NA,"NA","266.012432216812","3.28568879036307e-54","3.22632236790083e-52"
"8854","SHMT1",NA,"NA","265.767347182124","3.63430010347838e-54","3.54847312928324e-52"
"10170","MYCBP2","ENST00000408004","pgAmat1632.csv","264.059318538877","7.34235704582867e-54","7.12868620595568e-52"
"1173","PPP1R14A","ENST00000370277","NA","262.827671864009","1.21980945226887e-53","1.17769536056483e-51"
"12441","ADGRF5P2",NA,"NA","262.654427122512","1.310137079641e-53","1.25787716724199e-51"
"7641","FGF7",NA,"NA","262.534327170178","1.37665931306171e-53","1.31444343913439e-51"
"8051","RBMS1","ENST00000264255","NA","260.929713615109","2.66920882188648e-53","2.53457510218913e-51"
"7108","MAS1L","ENST00000163416","NA","260.607854107231","3.04859836928291e-53","2.87900967311187e-51"
"2607","SLC5A4","ENST00000560971","pgAmat31915.csv","259.602177221666","4.61877733367916e-53","4.3381364065567e-51"
"2206","NDEL1","ENST00000437151","pgAmat22499.csv","258.865212629748","6.2636098351408e-53","5.85122730653532e-51"
"219","RP11-673E1.3","ENST00000298289","NA","257.760579237437","9.89127335554917e-53","9.19037559841939e-51"
"9775","CTB-50E14.5","ENST00000342314","NA","257.502568486902","1.1005788688553e-52","1.01712320917419e-50"
"9081","EIF3EP1","ENST00000575811","NA","256.633006947471","1.57745757010241e-52","1.4500862620484e-50"
"3973","ARF1","ENST00000489760","NA","255.88787117871","2.14782723593799e-52","1.96395504187726e-50"
"4672","RP11-89K11.1",NA,"NA","253.597963346968","5.55091539426852e-52","5.04899578124992e-50"
"5311","ATXN1L",NA,"NA","252.338437007849","9.36398284724452e-52","8.4726885636691e-50"
"7290","AC136289.1","ENST00000440580","pgAmat26778.csv","251.464190379877","1.34650278277636e-51","1.21199276520527e-49"
"10538","RP11-459D22.1","ENST00000422587","pgAmat589.csv","244.955361244068","2.02621641620776e-50","1.81435606761153e-48"
"8540","HERC2P2","ENST00000430062","pgAmat8645.csv","244.349534030151","2.60949819922701e-50","2.32460556077532e-48"
"16901","SEC14L1","ENST00000609301","pgAmat4901.csv","242.672858256511","5.25870537434525e-50","4.66056134766332e-48"
"13434","RRAS2","ENST00000508631","pgAmat9578.csv","242.503870729833","5.64378614838585e-50","4.97632205185736e-48"
"5042","MYLKP1",NA,"NA","233.561954980666","2.40354689568448e-48","2.10853286554412e-46"
"8691","OR2A20P","ENST00000439894","NA","233.319708644043","2.66155520262867e-48","2.32308065716306e-46"
"8877","F3",NA,"NA","232.91917808556","3.15042832119742e-48","2.73596493703185e-46"
"2467","SIRPA",NA,"NA","231.869146294","4.9029719305736e-48","4.23665804520865e-46"
"7379","RP11-460E7.8","ENST00000455566","NA","231.738621792913","5.18020820003486e-48","4.45394816482599e-46"
"11247","ZNF833P",NA,"NA","231.361030605785","6.0738516333279e-48","5.196450689464e-46"
"673","HCFC2","ENST00000418257","pgAmat14523.csv","230.501053397097","8.7287063166704e-48","7.43100997855654e-46"
"3078","CUBN",NA,"NA","228.958158077477","1.67393624748716e-47","1.41808657985652e-45"
"6247","TUBB6",NA,"NA","228.22061489056","2.28575281083376e-47","1.92694536960142e-45"
"11979","PTBP1",NA,"NA","227.047987826819","3.752109199806e-47","3.14776462092463e-45"
"10459","SEC1P","ENST00000430663","NA","226.419903829758","4.89373136883907e-47","4.08567466262207e-45"
"12844","IQSEC3","ENST00000400027","pgAmat41573.csv","225.900061230322","6.09765037054516e-47","5.06632662037315e-45"
"7480","FER","ENST00000370473","NA","224.579323090775","1.06662414988533e-46","8.81980792264034e-45"
"15793","KLF8",NA,"NA","223.251753887548","1.87218191142243e-46","1.54071656158107e-44"
"6592","NAP1L5","ENST00000244040","NA","222.743851058433","2.32213867131665e-46","1.90195263117035e-44"
"12842","RP11-18O15.1","ENST00000455800","pgAmat12475.csv","222.514469288757","2.55943677828962e-46","2.08642388690572e-44"
"15368","RNPC3","ENST00000569937","NA","221.558737906492","3.83956718170096e-46","3.11527699690873e-44"
"15944","CCT3","ENST00000432416","NA","221.172167406415","4.52439152534928e-46","3.65376328696665e-44"
"6500","RPSAP41","ENST00000400550","pgAmat16318.csv","221.008780928365","4.84944675425745e-46","3.89805296777103e-44"
"16368","JCHAIN","ENST00000522766","NA","219.291611951566","1.00598077552003e-45","8.04877766784127e-44"
"1230","RBMS1P1",NA,"NA","218.5574883083","1.37464061469088e-45","1.09477138723906e-43"
"3560","SIRPB3P",NA,"NA","218.283311638658","1.54472279728912e-45","1.22458254049315e-43"
"773","OR8T1P","ENST00000564603","pgAmat1658.csv","217.754273359081","1.93478474956038e-45","1.52680137177637e-43"
